germavg,seedavg,smavg,lgavg,canavg,canse,germse,lgse,seedse,smse,Urban
43.2,4,0.06666666666666667,0.08888888888888889,0.13333333333333333,0.05124707431905382,17.7473173388902,0.04290254662948546,3.2807981290588977,0.04923659639173309,rural
42.4,5.6,0.13333333333333333,0.1111111111111111,0.17777777777777778,0.07309112127323451,9.993452401902504,0.07262900206968706,2.79219691933854,0.06030226891555272,rural
19.200000000000003,4.800000000000001,0.08888888888888889,0.044444444444444446,0.17777777777777778,0.07970202644274288,9.748846085563152,0.031067790907534743,2.453939319098616,0.05339222337940408,rural
4,4,0.24444444444444444,0.08888888888888889,0.17777777777777778,0.06581953356624205,2.614644074508734,0.04290254662948546,2.3510152545810348,0.08501666833333661,rural
17.599999999999998,0,0.28888888888888886,0.044444444444444446,0.1111111111111111,0.047377936967913425,9.81723901197184,0.031067790907534743,0,0.18428738597231037,rural
12.8,0,0.15555555555555556,0,0.044444444444444446,0.031067790907534743,5.738545903877487,0,0,0.11872876973668778,urban
4,0,0.13333333333333333,0.08888888888888889,0.13333333333333333,0.05124707431905382,2.614644074508734,0.04290254662948546,0,0.0816496580927726,urban
0.8,0,0.022222222222222223,0,0.15555555555555556,0.07075034750641397,0.8,0,0,0.022222222222222223,urban
6,0.8571428571428571,0.023809523809523808,0.19047619047619047,0,0,2.720422184902832,0.13303434205134823,0.8571428571428571,0.023809523809523808,urban
3.2,0.8,0.13333333333333333,0.08888888888888889,0.06666666666666667,0.03760507165451774,1.9221200416585469,0.04290254662948546,0.8,0.09320337272260423,urban
